Event,Market,Ticker,CloseTime,YesBid,YesAsk,NoBid,NoAsk,LastPrice,OpenInterest,Volume24h,Status,series,GameDate,Away,Home,AwayName,HomeName,Selection,SelectionName,Matchup
Miami at Atlanta,Miami at Atlanta Winner?,KXNFLGAME-25OCT26MIAATL-ATL,2025-11-09 17:00:00+00:00,0.7700,0.7800,0.2200,0.2300,0.7800,52760,16153,active,KXNFLGAME,2025-10-26,MIA,ATL,Dolphins,Falcons,ATL,Falcons,Dolphins @ Falcons
Miami at Atlanta,Miami at Atlanta Winner?,KXNFLGAME-25OCT26MIAATL-MIA,2025-11-09 17:00:00+00:00,0.2100,0.2300,0.7700,0.7900,0.2100,268463,17365,active,KXNFLGAME,2025-10-26,MIA,ATL,Dolphins,Falcons,MIA,Dolphins,Dolphins @ Falcons
Chicago at Baltimore,Chicago at Baltimore Winner?,KXNFLGAME-25OCT26CHIBAL-BAL,2025-11-09 17:00:00+00:00,0.7200,0.7300,0.2700,0.2800,0.7300,175681,119609,active,KXNFLGAME,2025-10-26,CHI,BAL,Bears,Ravens,BAL,Ravens,Bears @ Ravens
Chicago at Baltimore,Chicago at Baltimore Winner?,KXNFLGAME-25OCT26CHIBAL-CHI,2025-11-09 17:00:00+00:00,0.2600,0.2700,0.7300,0.7400,0.2700,1443516,513901,active,KXNFLGAME,2025-10-26,CHI,BAL,Bears,Ravens,CHI,Bears,Bears @ Ravens
Buffalo at Carolina,Buffalo at Carolina Winner?,KXNFLGAME-25OCT26BUFCAR-BUF,2025-11-09 17:00:00+00:00,0.7700,0.7800,0.2200,0.2300,0.7800,94046,26472,active,KXNFLGAME,2025-10-26,BUF,CAR,Bills,Panthers,BUF,Bills,Bills @ Panthers
Buffalo at Carolina,Buffalo at Carolina Winner?,KXNFLGAME-25OCT26BUFCAR-CAR,2025-11-09 17:00:00+00:00,0.2300,0.2400,0.7600,0.7700,0.2400,105724,41560,active,KXNFLGAME,2025-10-26,BUF,CAR,Bills,Panthers,CAR,Panthers,Bills @ Panthers
New York J at Cincinnati,New York J at Cincinnati Winner?,KXNFLGAME-25OCT26NYJCIN-CIN,2025-11-09 17:00:00+00:00,0.7200,0.7400,0.2600,0.2800,0.7400,99950,38140,active,KXNFLGAME,2025-10-26,NYJ,CIN,Jets,Bengals,CIN,Bengals,Jets @ Bengals
New York J at Cincinnati,New York J at Cincinnati Winner?,KXNFLGAME-25OCT26NYJCIN-NYJ,2025-11-09 17:00:00+00:00,0.2700,0.2800,0.7200,0.7300,0.2800,246602,30512,active,KXNFLGAME,2025-10-26,NYJ,CIN,Jets,Bengals,NYJ,Jets,Jets @ Bengals
Dallas at Denver,Dallas at Denver Winner?,KXNFLGAME-25OCT26DALDEN-DAL,2025-11-09 20:25:00+00:00,0.3900,0.4000,0.6000,0.6100,0.4000,222698,52435,active,KXNFLGAME,2025-10-26,DAL,DEN,Cowboys,Broncos,DAL,Cowboys,Cowboys @ Broncos
Dallas at Denver,Dallas at Denver Winner?,KXNFLGAME-25OCT26DALDEN-DEN,2025-11-09 20:25:00+00:00,0.6000,0.6100,0.3900,0.4000,0.6100,70071,32910,active,KXNFLGAME,2025-10-26,DAL,DEN,Cowboys,Broncos,DEN,Broncos,Cowboys @ Broncos
