Event,Market,Ticker,CloseTime,YesBid,YesAsk,NoBid,NoAsk,LastPrice,OpenInterest,Volume24h,Status,series,GameDate,Away,Home,AwayName,HomeName,Selection,SelectionName,Matchup
Los Angeles C at Detroit,Los Angeles C vs Detroit Winner?,KXNFLGAME-25JUL31LACDET-DET,2025-08-01 03:54:11.506822+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,229516,0,finalized,KXNFLGAME,2025-07-31,LAC,DET,Chargers,Lions,DET,Lions,Chargers @ Lions
Los Angeles C at Detroit,Los Angeles C vs Detroit Winner?,KXNFLGAME-25JUL31LACDET-LAC,2025-08-01 03:54:11.506822+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,155522,0,finalized,KXNFLGAME,2025-07-31,LAC,DET,Chargers,Lions,LAC,Chargers,Chargers @ Lions
Indianapolis at Baltimore,Indianapolis vs Baltimore Winner?,KXNFLGAME-25AUG07INDBAL-BAL,2025-08-08 02:56:21.090376+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,138891,0,finalized,KXNFLGAME,2025-08-07,IND,BAL,Colts,Ravens,BAL,Ravens,Colts @ Ravens
Indianapolis at Baltimore,Indianapolis vs Baltimore Winner?,KXNFLGAME-25AUG07INDBAL-IND,2025-08-08 02:56:21.090376+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,96958,0,finalized,KXNFLGAME,2025-08-07,IND,BAL,Colts,Ravens,IND,Colts,Colts @ Ravens
Cincinnati at Philadelphia,Cincinnati vs Philadelphia Winner?,KXNFLGAME-25AUG07CINPHI-CIN,2025-08-08 03:08:14.720622+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,98313,0,finalized,KXNFLGAME,2025-08-07,CIN,PHI,Bengals,Eagles,CIN,Bengals,Bengals @ Eagles
Cincinnati at Philadelphia,Cincinnati vs Philadelphia Winner?,KXNFLGAME-25AUG07CINPHI-PHI,2025-08-08 03:08:14.720622+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,55240,0,finalized,KXNFLGAME,2025-08-07,CIN,PHI,Bengals,Eagles,PHI,Eagles,Bengals @ Eagles
Las Vegas at Seattle,Las Vegas vs Seattle Winner?,KXNFLGAME-25AUG07LVSEA-LV,,0.0000,1.0000,0.0000,1.0000,0.4800,169223,47533,finalized,KXNFLGAME,2025-08-07,LV,SEA,Raiders,Seahawks,LV,Raiders,Raiders @ Seahawks
Las Vegas at Seattle,Las Vegas vs Seattle Winner?,KXNFLGAME-25AUG07LVSEA-SEA,,0.0000,1.0000,0.0000,1.0000,0.4800,220884,52826,finalized,KXNFLGAME,2025-08-07,LV,SEA,Raiders,Seahawks,SEA,Seahawks,Raiders @ Seahawks
Detroit at Atlanta,Detroit vs Atlanta Winner?,KXNFLGAME-25AUG08DETATL-ATL,2025-08-09 02:12:53.863656+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,49776,0,finalized,KXNFLGAME,2025-08-08,DET,ATL,Lions,Falcons,ATL,Falcons,Lions @ Falcons
Detroit at Atlanta,Detroit vs Atlanta Winner?,KXNFLGAME-25AUG08DETATL-DET,2025-08-09 02:12:53.863656+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,58228,0,finalized,KXNFLGAME,2025-08-08,DET,ATL,Lions,Falcons,DET,Lions,Lions @ Falcons
Cleveland at Carolina,Cleveland vs Carolina Winner?,KXNFLGAME-25AUG08CLECAR-CAR,2025-08-09 02:36:18.628651+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,73742,0,finalized,KXNFLGAME,2025-08-08,CLE,CAR,Browns,Panthers,CAR,Panthers,Browns @ Panthers
Cleveland at Carolina,Cleveland vs Carolina Winner?,KXNFLGAME-25AUG08CLECAR-CLE,2025-08-09 02:36:18.628651+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,121636,0,finalized,KXNFLGAME,2025-08-08,CLE,CAR,Browns,Panthers,CLE,Browns,Browns @ Panthers
Washington at New England,Washington vs New England Winner?,KXNFLGAME-25AUG08WASNE-NE,2025-08-09 03:08:23.727551+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,26003,0,finalized,KXNFLGAME,2025-08-08,WAS,NE,Commanders,Patriots,NE,Patriots,Commanders @ Patriots
Washington at New England,Washington vs New England Winner?,KXNFLGAME-25AUG08WASNE-WAS,2025-08-09 03:08:23.727551+00:00,0.0000,1.0000,0.0000,1.0000,0.0200,55570,0,finalized,KXNFLGAME,2025-08-08,WAS,NE,Commanders,Patriots,WAS,Commanders,Commanders @ Patriots
Kansas City at Arizona,Kansas City vs Arizona Winner?,KXNFLGAME-25AUG09KCARI-ARI,2025-08-10 03:40:30.437695+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,57442,0,finalized,KXNFLGAME,2025-08-09,KC,ARI,Chiefs,Cardinals,ARI,Cardinals,Chiefs @ Cardinals
Kansas City at Arizona,Kansas City vs Arizona Winner?,KXNFLGAME-25AUG09KCARI-KC,2025-08-10 03:40:30.437695+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,52228,0,finalized,KXNFLGAME,2025-08-09,KC,ARI,Chiefs,Cardinals,KC,Chiefs,Chiefs @ Cardinals
New York G at Buffalo,New York G vs Buffalo Winner?,KXNFLGAME-25AUG09NYGBUF-BUF,2025-08-09 21:00:44.527858+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,124232,0,finalized,KXNFLGAME,2025-08-09,NYG,BUF,Giants,Bills,BUF,Bills,Giants @ Bills
New York G at Buffalo,New York G vs Buffalo Winner?,KXNFLGAME-25AUG09NYGBUF-NYG,2025-08-09 21:00:44.527858+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,114463,0,finalized,KXNFLGAME,2025-08-09,NYG,BUF,Giants,Bills,NYG,Giants,Giants @ Bills
New York J at Green Bay,New York J vs Green Bay Winner?,KXNFLGAME-25AUG09NYJGB-GB,2025-08-10 03:28:22.202872+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,37006,0,finalized,KXNFLGAME,2025-08-09,NYJ,GB,Jets,Packers,GB,Packers,Jets @ Packers
New York J at Green Bay,New York J vs Green Bay Winner?,KXNFLGAME-25AUG09NYJGB-NYJ,2025-08-10 03:28:22.202872+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,39862,0,finalized,KXNFLGAME,2025-08-09,NYJ,GB,Jets,Packers,NYJ,Jets,Jets @ Packers
Pittsburgh at Jacksonville,Pittsburgh vs Jacksonville Winner?,KXNFLGAME-25AUG09PITJAC-JAC,2025-08-10 02:58:11.742557+00:00,0.0000,1.0000,0.0000,1.0000,0.0100,36916,0,finalized,KXNFLGAME,2025-08-09,PIT,JAC,Steelers,Jaguars,JAC,Jaguars,Steelers @ Jaguars
Pittsburgh at Jacksonville,Pittsburgh vs Jacksonville Winner?,KXNFLGAME-25AUG09PITJAC-PIT,2025-08-10 02:58:11.742557+00:00,0.0000,1.0000,0.0000,1.0000,0.9900,44077,0,finalized,KXNFLGAME,2025-08-09,PIT,JAC,Steelers,Jaguars,PIT,Steelers,Steelers @ Jaguars
